,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,bbr_type,,alu_opsel,,store_type,,wb_sel,,load_type,,op1_sel,,op2_sel,,immsel,,br_addrsel,,res_sel,,,,,,
,,,,,,,,,0,eq,0,sum       ,0,B,0,exe_res,0,B,,,,,0,u,0,alu_res,0,mem_res,,,,,
,,,,,,,,,1,ne,1,dif       ,1,H,1,mem_data,1,H,0,rs1,0,rs2,1,I,1,imm,1,pc+4,,,,,
,,,,,,,,,2,lt,2,ored      ,2,W,,,2,W,1,rs2,1,rs1,2,J,,,2,set_res,,,,,
,,,,,,,,,3,ge,3,anded     ,,,,,3,BU,2,pc,2,imm,3,B,,,,,,,,,
,,,,,,,,,4,1,4,xored     ,,,,,4,HU,3,0,3,'0',,,,,,,,,,,
,,,,,,,,,,,5,shiftleft ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,6,shiftright,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,7,shiftright,,,,,,,,,,,,,,,,,,,,,
,instr,Format,Name,Pseudocode,opcode,funct3,funct7,Funct7[6],imm_type,instr_type,alu_op,wb_src,src1,src2,,op_sign,imm_sel,op1_sel,op2_sel,alu_op_sel,exe_result_sel,br_addr_sel,br_type_sel,br_en,mem_load_type_sel,mem_we,mem_en,wb_data_sel,wb_we,srore_type,,Token,Micro code
,,,,,,,,,,,,,,,,1,2,2,2,4,1,1,3,1,3,1,1,1,1,2,,,26
0,LUI,"LUI rd,imm",Load Upper Immediate,rd = imm,37,xxx,'xxxxxxx’,x,U,LOAD,X,x,x,,,1,0,3,2,0,0,0,0,0,0,0,0,0,1,0,,,10000100000000000000000100
1,AUIPC,"AUIPC rd,offset",Add Upper Immediate to PC,rd = pc + offset,17,xxx,'xxxxxxx’,x,U,U,X,x,x,,,1,0,2,3,0,0,0,0,0,0,0,0,0,1,0,,,10000110000000000000000100
2,JAL,"JAL rd,offset",Jump and Link,rd = pc + length(inst)pc = (pc + offset),6f,xxx,'xxxxxxx’,x,J,JMP,X,pc,z,j,,1,2,2,2,0,1,1,4,1,0,0,0,0,1,0,,,11000100000111001000000100
